feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
n_cultures_24h,0.0037130396603577654,0.007428512974851931,0.007257356454333909,0.0069800401650817745,0.007549279141495958
diastolic_bp_min,0.0035143171128529,0.0026434794639145737,0.00866329852755791,0.006123288141290556,0.007103896603827084
spo2_lab_mean,0.0034728386268737385,0.0065832508638990666,0.006098202348032908,0.007110094666871672,0.007498004489069006
platelets_trend,0.00344845571983763,0.007303524517940023,0.00519550590548917,0.007023661266346672,0.00796314891150311
sodium_trend,0.003346133458093573,0.010614757997406962,0.0044789446515771485,0.005690978884195087,0.007663429733937336
anion_gap_max,0.003266486105009208,0.008440489675253248,0.005744944543774627,0.0055130597230753624,0.006897956004975367
creatinine_first,0.0032124478891037618,0.007013111018696007,0.007988715114673509,0.007317078330416348,0.00438287110795222
base_excess_trend,0.003078923333170483,0.005593366670451834,0.005609610531130991,0.006152182178609626,0.0066111185523478255
spo2_lab_max,0.0030759422564597717,0.005559702733568939,0.00757297170428457,0.005709952366182735,0.005143903739937262
anc_min,0.003020110047757211,0.006467938433358573,0.0054077170468971505,0.006002183074857269,0.006296170488490638
creatinine_min,0.002935425411697414,0.0067742099958856255,0.007576503780019712,0.006014877594043098,0.00395262082488513
potassium_max,0.0029089228612305955,0.004367946889640817,0.007094989849450554,0.006598808513540653,0.004666773546511551
heart_rate_trend,0.0028196113109915134,0.008580751907433947,0.003978910115764035,0.005081481173428588,0.006268486414093995
bilirubin_max,0.002686962310344865,0.004025628740865915,0.0059491132908172616,0.0027473807111261825,0.006244621396374995
urine_output_total_ml,0.0026754200699094445,0.002919222532142622,0.002128369178345934,0.0036760819073741614,0.009320151420934177
hematocrit_max,0.0026674036621452935,0.004561026094727224,0.007208953736936237,0.003730733621384593,0.004515224995971653
urine_output_per_hour,0.002608262237703831,0.0022812851511023135,0.0017925196056197154,0.004745471867231711,0.008991940395101207
albumin_mean,0.002580879432818591,0.005211580560282319,0.004114386412260974,0.004692013293010495,0.0060830376314915694
albumin_first,0.00237048370379723,0.007226937653586311,0.0033364980004153143,0.005123565687113328,0.004911496205510135
alc_min,0.0022821007547901614,0.005391112858532793,0.0033632817223705823,0.004945126549527885,0.005046189816013836
systolic_bp_max,0.0022431134233459092,0.0016061671440419471,0.006541833018779245,0.003277447104146473,0.003975211493480736
potassium_mean,0.002226461734074526,0.0033267236739962804,0.004549012342728681,0.0054379928359462515,0.004152641332949621
care_unit_General ICU,0.0021857597692121703,0.00618260867714119,0.00300436038658998,0.0037379523587136674,0.005147019942990153
